NAME_PY;NAME_CH;NAME_FT;X_COOR;Y_COOR;PRES_LOC;TYPE_PY;TYPE_CH;LEV_RANK;勘誤;BEG_YR;BEG_RULE;END_YR;END_RULE;NOTE_ID;OBJ_TYPE;SYS_ID;GEO_SRC;COMPILER;GEOCOMPLR;CHECKER;END_DATE;BEG_CHG_TY;END_CHG_TY
Zhang Xian;章县;章縣;116.42073;35.92291;今山东东平县东障城;Xian;县;6;正確;-52;;220;;85691;POINT;85691;FROM_FD;;;;;新建;撤销
Gucheng Xian;谷城县;穀城縣;116.25224;36.16695;今山东平阴县西南旧东阿;Xian;县;6;正確;25;;555;;85692;POINT;85692;FROM_FD;;;;;新建;撤销
Chai Houguo;柴侯国;柴侯國;117.27516;35.84045;今山东新泰市西柴城村;Houguo;侯国;6;正確;-125;;29;;85696;POINT;85696;FROM_FD;;;;;新建;撤销
Fenggao Xian;奉高县;奉高縣;117.39203;36.20775;今山东泰安市东范镇;Xian;县;6;正確;-122;;585;;85697;POINT;85697;FROM_FD;;;;;新建;更名且治所迁移
Feicheng Xian;肥城县;肥城縣;116.76697;36.18966;今山东肥城县;Xian;县;6;正確;-122;;29;;85701;POINT;85701;FROM_FD;;;;;新建;撤销
Ande Xian;安德县;安德縣;116.7207;37.26719;今山东陵县东南郑家寨;Xian;县;6;正確;-153;;588;;85706;POINT;85706;FROM_FD;;;;;新建;治所迁移
Zhongping Xian;重平县;重平縣;116.38844;37.58862;今河北吴桥县南;Xian;县;6;正確;-202;;29;;87406;POINT;87406;FROM_FD;;;;;新建;撤销
Qifeng Xian;启封县;啟封縣;114.29403;34.59517;今河南开封朱仙镇东南古城;Xian;县;6;正確;-221;;-197;;44317;POINT;44317;FROM_FD;;;;;新建;更名
Qifeng Guo;启封国;啟封國;114.29403;34.59517;今河南开封朱仙镇东南古城;Houguo;侯国;6;正確;-196;;-180;;44318;POINT;44318;FROM_FD;;;;;更名;更名
Kaifeng Guo;开封国;開封國;114.29403;34.59517;今河南开封朱仙镇东南古城;Houguo;侯国;6;正確;-179;;-113;;44319;POINT;44319;FROM_FD;;;;;更名;更名
Kaifeng Xian;开封县;開封縣;114.29403;34.59517;今河南开封朱仙镇东南古城;Xian;县;6;正確;-112;;446;;44320;POINT;44320;FROM_FD;;;;;更名;撤销
Chenliu Xian;陈留县;陳留縣;114.52453;34.67319;今河南开封县东南陈留镇;Xian;县;6;正確;-221;;265;;44324;POINT;44324;FROM_FD;;;;;新建;撤销
Yongqiu Xian;雍丘县;雍丘縣;114.77448;34.55351;今河南杞县;Xian;县;6;正確;-242;;936;;44326;POINT;44326;FROM_FD;;;;;新建;更名
Weishi Xian;尉氏县;尉氏縣;114.18077;34.41345;今河南尉氏县;Xian;县;6;正確;-245;;451;;44332;POINT;44332;FROM_FD;;;;;新建;撤销
